ps_id,reference,name,missing_description,missing_ean_count,no_valid_variants,sync_error
"63","21327","Amari trendy sweater","no","12","yes","[reason=missing_ean] Variant 21327-345 is missing EAN; [reason=missing_ean] Variant 21327-348 is missing EAN; [reason=missing_ean] Variant 21327-416 is missing EAN; [reason=missing_ean] Variant 21327-417 is missing EAN; [reason=missing_ean] Variant 21327-418 is missing EAN; [reason=missing_ean] Variant 21327-419 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"73","11119","Omid Hoodie","no","0","no","AY push returned error"
"78","11134","Aday Lined jacket","no","0","no","AY push returned error"
"81","11534","Ornamo Lined jacket","yes","0","no","[reason=missing_required_text] Missing description"
"89","10650","Moro Trainingsvest","no","0","no","AY push returned error"
"90","10796","Alaf Sweatvest","no","10","no","[reason=missing_ean] Variant 10796-943 is missing EAN; [reason=missing_ean] Variant 10796-944 is missing EAN; [reason=missing_ean] Variant 10796-945 is missing EAN; [reason=missing_ean] Variant 10796-946 is missing EAN; [reason=missing_ean] Variant 10796-947 is missing EAN"
"92","10942","Neso Sweatvest","no","0","no","AY push returned error"
"93","11517","Lilyo Sweater","no","0","no","AY push returned error"
"94","11428","Amiro Sweatvest","no","0","no","AY push returned error"
"95","2942","Komo Outdoor Jacket","no","10","yes","[reason=missing_ean] Variant 2942-541 is missing EAN; [reason=missing_ean] Variant 2942-542 is missing EAN; [reason=missing_ean] Variant 2942-543 is missing EAN; [reason=missing_ean] Variant 2942-544 is missing EAN; [reason=missing_ean] Variant 2942-545 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"106","","noos","yes","12","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant ps-106-369 is missing EAN; [reason=missing_ean] Variant ps-106-370 is missing EAN; [reason=missing_ean] Variant ps-106-371 is missing EAN; [reason=missing_ean] Variant ps-106-372 is missing EAN; [reason=missing_ean] Variant ps-106-373 is missing EAN; [reason=missing_ean] Variant ps-106-374 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"110","11527","Noman Sweater","yes","0","no","[reason=missing_required_text] Missing description"
"113","11123","Zadiq Sweater","no","0","no","AY push returned error"
"114","11352","Nedro Sweatpant","yes","0","no","[reason=missing_required_text] Missing description"
"115","10971","Shem Sweatvest","no","0","no","AY push returned error"
"118","","Nins-Jacket uitverkocht","yes","2","yes","[reason=missing_required_text] Missing description; [reason=missing_ean] Variant ps-118-118 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"121","11200","yaldo","no","10","yes","[reason=missing_ean] Variant 11200-1004 is missing EAN; [reason=missing_ean] Variant 11200-1005 is missing EAN; [reason=missing_ean] Variant 11200-1006 is missing EAN; [reason=missing_ean] Variant 11200-1007 is missing EAN; [reason=missing_ean] Variant 11200-1008 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"127","2889","Hebro Jacket","yes","0","no","[reason=missing_required_text] Missing description"
"130","10650","Moro sweatpant","no","0","no","AY push returned error"
"139","21329","Shosin Hoodie","no","0","no","AY push returned error"
"140","21361","Nisha  Hoodie","no","0","no","AY push returned error"
"142","21369","Medra Sweater","no","12","yes","[reason=missing_ean] Variant 21369-410 is missing EAN; [reason=missing_ean] Variant 21369-411 is missing EAN; [reason=missing_ean] Variant 21369-412 is missing EAN; [reason=missing_ean] Variant 21369-413 is missing EAN; [reason=missing_ean] Variant 21369-414 is missing EAN; [reason=missing_ean] Variant 21369-415 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"145","21343","Ilona Oversized Sweater","no","0","no","AY push returned error"
"147","21332","Shebla Sweater","no","6","yes","[reason=missing_ean] Variant 21332-604 is missing EAN; [reason=missing_ean] Variant 21332-605 is missing EAN; [reason=missing_ean] Variant 21332-603 is missing EAN; [reason=no_valid_variants] No valid variants available for export"
"150","21336","Rama Sweater","no","0","no","[reason=duplicate_tuple] Duplicate variant combination (style_key='21336', color=160366, size=4394525, second_size=None) in payload (first seen at SKU 21336-424, duplicate SKU 21336-428, first raw=raw=[Color: Blauw, Size: S], duplicate raw=raw=[Size: S, Color: Roze]); [reason=duplicate_tuple] Duplicate variant combination (style_key='21336', color=160366, size=4394527, second_size=None) in payload (first seen at SKU 21336-425, duplicate SKU 21336-429, first raw=raw=[Color: Blauw, Size: L], duplicate raw=raw=[Size: L, Color: Roze]); [reason=duplicate_tuple] Duplicate variant combination (style_key='21336', color=160366, size=4394526, second_size=None) in payload (first seen at SKU 21336-426, duplicate SKU 21336-430, first raw=raw=[Size: M, Color: Blauw], duplicate raw=raw=[Size: M, Color: Roze]); [reason=duplicate_tuple] Duplicate variant combination (style_key='21336', color=160366, size=935043, second_size=None) in payload (first seen at SKU 21336-427, duplicate SKU 21336-431, first raw=raw=[Size: XL, Color: Blauw], duplicate raw=raw=[Size: XL, Color: Roze])"
